local_time,local_time,Date,1001_T,1001_RH,1002_T,1002_RH,1003_T,1003_RH,1004_T,1004_RH,1005_T,1005_RH
5,21,5/21/2020,11.01166667,73.54364583,10.35572917,81.043125,10.579375,82.75239583,10.1390625,80.0046875,10.10135417,79.70177083
5,22,5/22/2020,12.19114583,64.30614583,11.01141304,72.62630435,11.58260417,73.03625,10.81135417,71.42322917,10.80885417,70.9034375
5,23,5/23/2020,12.27,74.18416667,11.6671875,81.18583333,11.87302083,83.21291667,11.46489583,80.79791667,11.4878125,80.06635417
5,24,5/24/2020,12.3465625,67.22364583,11.98739583,72.80947917,12.21833333,74.68625,11.8146875,72.09864583,11.82916667,71.44645833
5,25,5/25/2020,12.23802083,65.1121875,11.17032967,73.71076923,11.5984375,75.120625,10.87083333,73.53833333,10.953125,72.6171875
5,26,5/26/2020,11.82479167,66.733125,10.14947917,78.86947917,10.99635417,77.66270833,9.2784375,80.66520833,9.617708333,78.30729167
5,27,5/27/2020,13.609375,65.28854167,12.81770833,73.25302083,12.98708333,74.87125,12.41635417,73.8575,12.6653125,71.96125
5,28,5/28/2020,14.67136364,63.17431818,13.2002381,73.02833333,13.84833333,72.84854167,12.85858696,73.28597826,13.13583333,71.6109375
5,29,5/29/2020,12.9725,67.60434783,11.5271875,78.50239583,11.94916667,79.726875,11.06666667,79.13270833,11.2778125,77.5853125
5,30,5/30/2020,14.10916667,59.75708333,13.49385417,66.75572917,13.75875,67.66416667,13.02739583,67.53989583,13.265,65.75979167
5,31,5/31/2020,14.9159375,54.7690625,14.16583333,61.6571875,14.47072917,62.25635417,13.91802083,61.40166667,13.9484375,60.638125
6,1,6/1/2020,10.36333333,74.145,9.909880952,80.37571429,9.934642857,83.10916667,9.7609375,79.23583333,9.773333333,78.76260417
6,2,6/2/2020,12.86071429,65.24535714,12.405,71.648,11.97197917,74.70145833,11.62583333,72.04802083,11.61020833,71.613125
6,3,6/3/2020,12.75822917,58.1490625,12.00520833,64.265,12.47236559,65.28,11.79854167,63.52625,11.82479167,62.8175
6,4,6/4/2020,13.08864583,53.75135417,11.49322917,63.28333333,12.30884211,62.8,11.15739583,63.22427083,11.24572917,62.28729167
6,5,6/5/2020,10.783125,63.06364583,8.819479167,75.29208333,9.7115625,74.92697917,6.872631579,79.18263158,8.469583333,74.74885417
6,6,6/6/2020,10.9084375,68.84364583,9.961354167,77.52885417,10.17666667,79.454375,,,9.632291667,77.2184375
6,7,6/7/2020,11.04041667,63.21229167,10.160625,71.07166667,10.58125,71.90541667,,,9.993333333,70.03770833
6,8,6/8/2020,10.29864583,66.98958333,8.734895833,78.2890625,9.515,77.963125,,,8.346145833,77.983125
6,9,6/9/2020,9.801979167,61.6671875,8.0334375,73.61927083,8.723854167,73.53052083,,,7.623541667,73.1628125
6,10,6/10/2020,11.4446875,64.14333333,9.747395833,75.7434375,10.7946875,74.7303125,,,9.515104167,74.78177083
6,11,6/11/2020,11.09125,61.44072917,9.502708333,72.71458333,10.15947917,72.8521875,,,9.015,72.31114583
6,12,6/12/2020,11.22114583,62.13239583,9.349479167,74.24208333,9.978333333,74.28572917,,,9.186458333,72.92604167
6,13,6/13/2020,13.08195652,66.72836957,12.6026087,73.7123913,13.024375,74.39229167,,,12.58291667,71.8790625
